"Name","Mass","Differentiated","Undiff_Type","Ordinary_Type"
"Moorleah",9.0924010741115,"Undifferentiated","Ordinary","L Meteorite"
"Moradabad",4.24849524204936,"Undifferentiated","Ordinary","L Meteorite"
"Morávka",6.45047042214418,"Undifferentiated","Ordinary","H Meteorite"
"Mornans",7.17011954344963,"Undifferentiated","Ordinary","H Meteorite"
"Moss",8.23297179059344,"Undifferentiated","Carbonaceous",NA
"Moti-ka-nagla",7.3132203870903,"Undifferentiated","Ordinary","H Meteorite"
"Motta di Conti",9.12150915826957,"Undifferentiated","Ordinary","H Meteorite"
"Mount Browne",9.33255800470043,"Undifferentiated","Ordinary","H Meteorite"
"Mount Tazerzait",11.6082356447746,"Undifferentiated","Ordinary","L Meteorite"
"Mount Vaisi",9.74096862303835,"Differentiated",NA,NA
"Mtola",7.00306545878646,"Differentiated",NA,NA
"Muddoor",8.38935981990635,"Undifferentiated","Ordinary","L Meteorite"
"Mulletiwu",3.23867845216438,"Undifferentiated","Ordinary","L Meteorite"
"Muraid",8.45595588194505,"Undifferentiated","Ordinary","L Meteorite"
