"Name","Mass","Differentiated","Undiff_Type","Ordinary_Type"
"Épinal",5.62401750618734,"Undifferentiated","Ordinary","H Meteorite"
"Erakot",4.72738781871234,"Undifferentiated","Carbonaceous",NA
"Erevan",4.6746962486367,"Differentiated",NA,NA
"Ergheo",9.90348755253613,"Undifferentiated","Ordinary","L Meteorite"
"Erxleben",7.71868549519847,"Undifferentiated","Ordinary","H Meteorite"
"Esnandes",7.3132203870903,"Undifferentiated","Ordinary","L Meteorite"
"Essebi",6.21460809842219,"Undifferentiated","Carbonaceous",NA
"Estherville",12.6760762747759,"Differentiated",NA,NA
"Farmington",11.4008759611616,"Undifferentiated","Ordinary","L Meteorite"
"Farmville",10.9331069697173,"Undifferentiated","Ordinary","H Meteorite"
"Favars",7.3132203870903,"Undifferentiated","Ordinary","H Meteorite"
"Fayetteville",7.76641689801966,"Undifferentiated","Ordinary","H Meteorite"
"Feid Chair",5.94017125272043,"Undifferentiated","Ordinary","H Meteorite"
"Felix",8.07090608878782,"Undifferentiated","Carbonaceous",NA
"Fenghsien-Ku",4.40671924726425,"Undifferentiated","Ordinary","H Meteorite"
"Ferguson",5.39362754635236,"Undifferentiated","Carbonaceous",NA
